Date,Open,High,Low,Close,Adj Close,Volume
9/7/2006,1460.522949,1470.465942,1456.350952,1470.465942,1470.422241,11626800
9/8/2006,1462.379028,1467.718994,1458.01001,1466.57605,1466.532471,16001300
9/11/2006,1464.531006,1464.531006,1441.996948,1447.254028,1447.21106,9977800
9/12/2006,1444.838989,1444.838989,1417.239014,1435.207031,1435.164429,10998500
9/13/2006,1446.260986,1457.296997,1443.489014,1451.079956,1451.036987,11147600
9/14/2006,1458.489014,1461.998047,1454.271973,1461.291992,1461.248535,8839400
9/15/2006,1457.588989,1465.70105,1455.337036,1465.70105,1465.657593,6277400
9/18/2006,1466.630981,1474.258057,1462.446045,1474.258057,1474.214233,7097200
9/19/2006,1473.223999,1487.225952,1473.223999,1485.348999,1485.304932,10963700
9/20/2006,1471.385986,1483.889038,1471.385986,1479.307007,1479.263184,9322900
9/21/2006,1482.61499,1507.36499,1482.411987,1507.36499,1507.320313,19647400
9/22/2006,1500.508057,1515.411987,1500.508057,1510.824951,1510.780029,13806000
9/25/2006,1503.604004,1506.755981,1496.014038,1506.755981,1506.711304,9991800
9/26/2006,1509.703003,1510.421021,1492.765991,1500.10498,1500.060425,9557000
9/27/2006,1510.026978,1523.05896,1510.026978,1523.05896,1523.013794,10483600
9/28/2006,1526.036987,1533.800049,1520.813965,1533.800049,1533.754517,12661800
9/29/2006,1532.103027,1534.61499,1526.244019,1534.61499,1534.569458,12686600
10/2/2006,1531.984009,1533.738037,1522.41394,1528.906982,1528.861572,17703300
10/3/2006,1521.557007,1537.709961,1520.907959,1537.709961,1537.664307,15553900
10/4/2006,1535.041016,1537.61499,1515.463989,1537.084961,1537.039307,15106100
10/5/2006,1547.32605,1549.457031,1534.968018,1544.978027,1544.932251,20795400
10/6/2006,1547.535034,1560.233032,1547.170044,1549.629028,1549.583008,13236500
10/9/2006,1549.280029,1551.137939,1534.050049,1543.42395,1543.378174,13088400
10/10/2006,1540.900024,1554.916992,1540.900024,1554.916992,1554.870728,12732600
10/11/2006,1554.43103,1563.26001,1548.51001,1553.119019,1553.072998,17091800
10/12/2006,1549.897949,1554.021973,1539.666992,1549.535034,1549.489014,17359000
